No.	DateMeas	TimeMeas	PV	RMS	Tilt	Power	Hardware	Intensity accumul.	Phase accumul.	Sample	Sample	User	Defocus	MaskWidth	MaskHeight	C1 (c1,1)	C2 (s1,1)	C3 (2,2)	C4 (c2,2)	C5 (s2,2)	C6 (c3,1)	C7 (s3,1)	C8 (4,0)	C9 (c3,3)	C10 (s3,3)	C11 (c4,2)	C12 (s4,2)	C13 (c5,1)	C14 (s5,1)	C15 (6,0)
			[nm]	[nm]	[nm]	[nm]	setup			ID	name	initials	[mm]	[pixel]	[pixel]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]	[nm]
57	12/09/21	16:43:22	335.9	49.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
58	12/09/21	16:43:28	343.6	50.2	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
59	12/09/21	16:43:34	351.6	50.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
60	12/09/21	16:43:42	296.3	42.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
61	12/09/21	16:43:48	337.4	49.0	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
62	12/09/21	16:43:56	333.4	47.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
63	12/09/21	16:44:02	323.8	45.7	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
64	12/09/21	16:44:09	291.4	36.5	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
65	12/09/21	16:44:18	184.5	18.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
66	12/09/21	16:45:52	173.6	16.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
67	12/09/21	16:45:59	349.2	41.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
68	12/09/21	16:46:05	346.1	49.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
69	12/09/21	16:46:12	364.9	52.1	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
70	12/09/21	16:46:34	321.3	45.9	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
71	12/09/21	16:46:40	330.9	46.3	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
72	12/09/21	16:46:48	319.2	44.6	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
73	12/09/21	16:46:54	374.5	53.8	inactive	inactive	 	1	1	 	 	 	inactive	247.3	247.3	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive	inactive
